98,1,5,6,5,5
98,0,5,5,5,5
1,1,6,6,6,6
1,0,6,6,6,6
2,1,3,2,2,2
2,0,2,2,2,2
3,1,5,5,5,5
3,0,5,5,5,5
4,1,3,4,4,4
4,0,4,4,4,4
5,1,3,3,3,1
5,0,3,3,3,3
6,1,4,2,4,2
6,0,4,2,4,2
7,1,6,4,3,6
7,0,3,4,3,6
8,1,5,5,5,5
8,0,5,5,5,5
9,1,2,2,2,6
9,0,2,2,2,6
10,1,6,6,6,1
10,0,6,6,6,6
11,1,2,2,4,4
11,0,4,4,4,4
12,1,1,5,1,1
12,0,1,5,1,1
13,1,5,5,5,2
13,0,5,5,5,2
14,1,1,6,2,6
14,0,1,6,2,6
15,1,2,3,5,5
15,0,3,3,3,5
16,1,6,6,6,2
16,0,6,6,6,2
17,1,5,3,4,2
17,0,5,3,4,2
18,1,2,2,2,2
18,0,2,2,2,2
19,1,3,3,2,2
19,0,2,2,2,2
20,1,2,2,2,5
20,0,2,2,2,5
