98,1,5,6,5,3
98,0,5,5,5,3
1,1,6,6,6,3
1,0,6,6,6,6
2,1,3,2,2,2
2,0,2,2,2,2
3,1,5,5,5,5
3,0,5,5,5,5
4,1,3,4,4,4
4,0,4,4,4,4
5,1,3,3,3,1
5,0,3,3,3,1
6,1,4,2,4,2
6,0,4,2,4,4
7,1,6,4,3,6
7,0,3,4,3,6
8,1,5,5,5,5
8,0,5,5,5,5
9,1,6,6,6,5
9,0,6,6,6,6
10,1,1,1,1,6
10,0,1,1,1,1
11,1,4,4,2,2
11,0,2,2,2,2
12,1,1,5,1,1
12,0,1,5,1,1
13,1,2,2,2,5
13,0,2,2,2,5
14,1,1,6,2,6
14,0,1,6,2,6
15,1,2,3,5,2
15,0,3,3,3,2
16,1,6,6,6,2
16,0,6,6,6,6
17,1,5,3,4,2
17,0,5,3,4,2
18,1,2,2,2,2
18,0,2,2,2,2
19,1,2,2,3,3
19,0,3,3,3,3
20,1,2,2,2,5
20,0,2,2,2,2
