98,1,5,6,5,6
98,0,5,5,5,3
1,1,6,6,6,3
1,0,6,6,6,0
2,1,3,2,2,2
2,0,2,2,2,2
3,1,5,5,5,5
3,0,5,5,5,5
4,1,3,4,4,4
4,0,4,4,4,4
5,1,1,1,1,5
5,0,1,1,1,5
6,1,2,4,2,4
6,0,2,4,2,4
7,1,6,4,3,3
7,0,3,4,3,3
8,1,5,5,5,5
8,0,5,5,5,5
9,1,6,6,6,4
9,0,6,6,6,4
10,1,1,1,1,6
10,0,1,1,1,6
11,1,4,4,2,2
11,0,2,2,2,2
12,1,5,1,5,5
12,0,5,1,5,5
13,1,2,2,2,4
13,0,2,2,2,4
14,1,1,2,6,2
14,0,1,2,6,2
15,1,2,3,5,3
15,0,3,3,3,3
16,1,6,6,6,2
16,0,6,6,6,2
17,1,2,3,5,4
17,0,2,3,5,3
18,1,2,2,2,2
18,0,2,2,2,2
19,1,3,3,2,2
19,0,2,2,2,2
20,1,5,5,5,4
20,0,5,5,5,4
